Student_ID,10th_Percentage,12th_Percentage,CGPA,Entrance_Score,Interview_Score,Aptitude_Score,Extracurricular_Score,Attendance,Previous_Backlogs,Eligible
STU_1000,87.52,86.51,8.63,73.38,97.02,70.52,69.85,93.96,1,1
STU_1001,85.37,77.48,8.24,92.36,77.22,83.54,69.64,92.78,0,1
STU_1002,86.43,81.37,7.76,67.78,57.71,71.69,76.05,94.05,0,1
STU_1003,79.57,75.44,8.33,80.3,48.63,73.25,50.57,92.43,0,1
STU_1004,95.13,91.51,8.69,69.05,85.95,72.24,49.75,89.75,0,1
STU_1005,78.19,79.03,7.51,69.25,55.54,66.43,58.19,88.63,1,0
STU_1006,90.68,86.0,8.86,80.48,84.87,80.09,52.6,87.72,0,1
STU_1007,81.85,80.95,8.14,84.05,56.11,75.39,66.48,90.65,0,1
STU_1008,84.15,84.79,7.63,69.76,65.87,76.12,61.28,92.35,0,1
STU_1009,90.83,88.67,9.09,78.19,73.75,67.02,29.81,83.65,2,0
STU_1010,93.47,87.31,9.05,79.39,80.95,80.07,35.62,82.08,0,1
STU_1011,77.2,86.1,8.01,78.82,63.81,65.93,52.52,91.84,0,0
STU_1012,86.69,81.74,8.37,80.93,78.21,79.61,56.11,88.55,1,0
STU_1013,86.24,81.63,8.66,79.04,55.39,66.37,37.15,91.16,1,0
STU_1014,76.64,78.02,7.21,73.9,59.04,64.31,55.2,89.42,0,1
STU_1015,88.28,87.91,8.4,79.84,61.87,87.8,51.84,91.69,0,0
STU_1016,78.12,80.37,8.02,75.63,59.94,79.39,47.77,91.81,3,0
STU_1017,83.77,86.93,8.31,75.23,61.97,66.18,68.26,91.23,0,1
STU_1018,83.15,81.23,8.23,67.29,65.33,72.86,58.8,82.1,0,1
STU_1019,84.02,82.52,8.41,81.73,69.68,61.43,66.55,83.54,0,1
STU_1020,80.75,80.79,7.97,78.73,65.43,85.49,56.62,79.59,0,1
STU_1021,89.76,83.96,8.81,65.94,82.48,69.34,49.29,87.05,0,1
STU_1022,75.98,78.78,8.66,67.5,72.2,59.95,57.32,89.99,1,1
STU_1023,86.98,79.84,7.97,76.62,79.59,60.62,67.83,92.05,0,0
STU_1024,81.86,80.77,8.66,84.37,78.99,71.48,60.23,93.5,2,0
STU_1025,84.57,85.07,8.61,83.98,72.72,66.23,49.49,90.12,0,1
STU_1026,86.47,85.01,7.88,67.52,74.55,71.21,75.1,91.03,1,1
STU_1027,79.77,77.75,8.37,76.99,78.63,71.11,45.0,84.21,1,0
STU_1028,83.92,76.53,8.07,63.23,69.28,59.64,59.79,88.49,1,1
STU_1029,84.59,83.49,7.46,82.57,78.02,83.07,49.4,93.02,1,1
STU_1030,80.92,80.87,8.26,65.66,71.46,64.38,37.31,88.65,1,0
STU_1031,81.84,87.71,8.5,62.96,72.65,69.23,66.63,94.64,0,0
STU_1032,86.34,80.32,8.02,58.21,84.92,60.22,67.61,82.47,0,1
STU_1033,75.15,81.89,8.64,87.87,51.95,79.3,24.17,90.64,0,0
STU_1034,72.2,80.6,8.14,86.76,70.56,78.21,62.99,84.88,1,0
STU_1035,82.31,80.69,8.77,82.78,67.02,84.9,29.98,85.44,0,1
STU_1036,85.08,73.62,8.62,94.42,78.07,81.54,84.95,86.35,0,1
STU_1037,95.0,89.91,9.02,66.64,50.01,77.55,35.41,93.08,0,1
STU_1038,84.15,84.83,8.71,81.05,88.75,70.16,54.23,94.9,1,1
STU_1039,76.75,78.42,7.05,69.88,84.36,70.75,54.13,86.1,3,0
STU_1040,71.77,75.67,8.27,70.87,51.22,78.04,74.12,90.59,1,0
STU_1041,83.5,88.06,8.86,84.31,54.61,69.0,67.46,80.82,0,1
STU_1042,93.5,89.28,8.55,86.92,62.98,79.52,50.7,92.64,0,1
STU_1043,75.66,70.95,7.82,68.0,87.75,75.65,64.8,94.49,0,1
STU_1044,81.52,84.46,7.81,92.39,75.16,83.4,76.24,88.82,0,1
STU_1045,85.25,74.14,7.53,62.72,68.08,66.94,46.61,87.51,0,0
STU_1046,80.43,78.71,8.74,94.11,94.26,83.78,54.69,86.35,0,1
STU_1047,89.92,97.42,8.69,81.5,53.86,71.38,49.82,90.28,3,0
STU_1048,88.6,83.18,8.67,72.63,61.85,74.25,46.16,88.56,0,1
STU_1049,75.53,74.99,8.06,69.6,64.41,74.41,57.63,82.75,0,1
STU_1050,86.2,81.81,8.03,75.31,72.22,74.99,90.78,84.59,2,0
STU_1051,88.42,82.34,8.09,86.95,59.71,68.9,71.98,92.36,0,1
STU_1052,82.59,84.52,8.37,74.62,59.61,63.01,77.02,86.84,0,0
STU_1053,76.78,80.26,8.04,80.97,58.33,85.09,41.6,92.3,0,0
STU_1054,91.5,81.91,8.68,69.37,77.25,73.44,44.51,87.75,0,1
STU_1055,76.83,78.85,7.94,76.19,55.42,78.91,61.29,95.18,1,0
STU_1056,79.74,81.34,8.34,77.49,62.7,69.01,75.57,81.99,0,1
STU_1057,87.09,88.87,8.74,85.17,79.8,80.92,55.81,95.49,1,1
STU_1058,90.87,84.47,8.37,73.58,62.61,88.36,50.79,95.7,2,0
STU_1059,92.33,93.83,8.54,89.58,59.55,84.9,53.08,95.88,0,1
STU_1060,79.9,80.41,8.07,79.23,67.13,90.01,42.28,86.61,0,0
STU_1061,91.45,88.55,8.15,72.53,50.8,73.05,69.88,89.25,0,1
STU_1062,83.34,81.83,8.69,75.14,76.36,83.88,63.38,93.82,0,1
STU_1063,84.04,78.37,8.25,69.49,67.89,79.01,57.92,87.41,0,1
STU_1064,81.65,82.82,8.61,69.98,67.35,80.92,44.7,92.89,0,1
STU_1065,91.17,85.61,8.24,68.03,51.81,66.52,69.79,90.63,0,1
STU_1066,71.53,72.09,7.78,89.88,72.14,83.36,80.23,96.51,2,0
STU_1067,78.63,76.78,8.56,68.66,66.88,70.4,48.14,87.22,0,1
STU_1068,91.93,87.38,8.7,77.98,67.41,71.27,44.79,91.66,0,0
STU_1069,87.16,84.6,8.71,82.67,87.44,77.7,55.28,82.61,2,0
STU_1070,94.06,93.39,9.15,75.53,67.15,62.82,48.13,92.4,0,1
